"","Cluster","Indicator","MeanCover"
"48","V10","AH_NonNoxShrubCover",6.4338931877193
"49","V5","AH_NonNoxShrubCover",3.62373695016949
"50","V2","AH_NonNoxShrubCover",2.678392941
"51","V9","AH_NonNoxSubShrubCover",3.74000398033333
"52","V3","AH_NonNoxSubShrubCover",3.62774343847059
"53","V10","AH_NonNoxSubShrubCover",2.82501116280702
"54","V7","AH_NonNoxSubShrubCover",2.68456234476744
"55","V5","AH_NonNoxSubShrubCover",2.59386108118644
"56","V2","AH_NonNoxSubShrubCover",2.568206821
"57","V8","AH_NonNoxSubShrubCover",2.39108207529412
"58","V6","AH_NonNoxSubShrubCover",2.14905672924242
"59","V4","AH_NonNoxSubShrubCover",1.39404405546512
"60","V1","AH_NonNoxSubShrubCover",0.972696008823529
"61","V8","AH_NonNoxSucculentCover",3.76084759784314
"62","V10","AH_NonNoxSucculentCover",3.15036766807018
"63","V2","AH_NonNoxSucculentCover",2.03602860266667
"64","V6","AH_NonNoxSucculentCover",1.25697569772727
"65","V5","AH_NonNoxSucculentCover",1.14879454067797
"66","V9","AH_NonNoxSucculentCover",0.832838283833333
"67","V7","AH_NonNoxSucculentCover",0.559022181395349
"68","V4","AH_NonNoxSucculentCover",0.555376468023256
"69","V3","AH_NonNoxSucculentCover",0.371500679529412
"70","V1","AH_NonNoxSucculentCover",0.161036691911765
"71","V8","AH_NonNoxTreeCover",2.98576328215686
"72","V10","AH_NonNoxTreeCover",1.87568756912281
"73","V2","AH_NonNoxTreeCover",1.10146157483333
"74","V9","AH_NonNoxTreeCover",0.894734381833333
"75","V7","AH_NonNoxTreeCover",0.44262798372093
"76","V5","AH_NonNoxTreeCover",0.0839066957627119
"77","V6","AH_NonNoxTreeCover",0.0808080809090909
"78","V4","AH_NonNoxTreeCover",0.0575638959302326
"79","V1","AH_NonNoxTreeCover",0
"80","V3","AH_NonNoxTreeCover",0
"81","V8","AH_NoxCover",1.45098039196078
"82","V9","AH_NoxCover",1.3375538415
"83","V7","AH_NoxCover",0.492132934418605
"84","V10","AH_NoxCover",0.473684210350877
"85","V6","AH_NoxCover",0.424242424242424
"86","V1","AH_NoxCover",0.387955182058824
"87","V3","AH_NoxCover",0.192040380470588
"88","V5","AH_NoxCover",0.135593220508475
"89","V2","AH_NoxCover",0.0833333333333333
"90","V4","AH_NoxCover",0.0425205311627907
"91","V4","BareSoilCover",61.2079591676744
"92","V3","BareSoilCover",55.3758903414118
"93","V7","BareSoilCover",44.586561820814
"94","V5","BareSoilCover",31.3305771272881
"95","V9","BareSoilCover",28.7313527221667
"96","V1","BareSoilCover",17.7596999202941
"97","V2","BareSoilCover",9.61894771183333
"98","V6","BareSoilCover",9.26579880166667
"99","V10","BareSoilCover",9.22976151807018
"100","V8","BareSoilCover",3.39140303882353
"101","V7","GapCover_101_200",20.783488372093
"102","V10","GapCover_101_200",19.6516290721053
"103","V6","GapCover_101_200",19.5346464643939
"104","V9","GapCover_101_200",15.1430016583333
"105","V1","GapCover_101_200",13.1365266108824
"106","V3","GapCover_101_200",13.040784314
"107","V8","GapCover_101_200",9.62352941176471
"108","V5","GapCover_101_200",9.4874062659322
"109","V4","GapCover_101_200",7.32279069767442
"110","V2","GapCover_101_200",4.572111111
"111","V4","GapCover_200_plus",74.2878294576744
"112","V1","GapCover_200_plus",58.2457843139706
"113","V3","GapCover_200_plus",50.3750588234118
"114","V6","GapCover_200_plus",29.8862626265152
"115","V7","GapCover_200_plus",23.1373643409302
"116","V9","GapCover_200_plus",15.0859253738333
"117","V10","GapCover_200_plus",12.9596449457895
"118","V5","GapCover_200_plus",7.40117103220339
"119","V8","GapCover_200_plus",4.98183006509804
"120","V2","GapCover_200_plus",1.27855555533333
