"","Cluster","Indicator","MeanCover","MinCover","MaxCover"
"50","V4","AH_NonNoxPerenGrassCover",2.4,0,15.84
"51","V4","AH_NonNoxShrubCover",8.56,0,27.33
"52","V4","AH_NonNoxSubShrubCover",1.34,0,9
"53","V4","AH_NonNoxSucculentCover",0.56,0,6
"54","V4","AH_NonNoxTreeCover",0.06,0,2.97
"55","V4","AH_NoxCover",0.04,0,1.67
"56","V4","BareSoilCover",61.5,23.67,91.09
"57","V4","GapCover_101_200",7.22,0,21.37
"58","V4","GapCover_200_plus",74.39,60.23,95.84
"59","V5","AH_NonNoxAnnForbCover",1.4,0,16.83
"60","V5","AH_NonNoxAnnGrassCover",0.67,0,9.33
"61","V5","AH_NonNoxPerenForbCover",0.89,0,5
"62","V5","AH_NonNoxPerenGrassCover",38.67,20.67,56
"63","V5","AH_NonNoxShrubCover",2.58,0,26.67
"64","V5","AH_NonNoxSubShrubCover",2.77,0,19.8
"65","V5","AH_NonNoxSucculentCover",1.24,0,11.88
"66","V5","AH_NonNoxTreeCover",0.1,0,1.98
"67","V5","AH_NoxCover",0.14,0,6.67
"68","V5","BareSoilCover",31.58,13.86,50.5
"69","V5","GapCover_101_200",9.77,0,23.47
"70","V5","GapCover_200_plus",6.72,0,30.48
"71","V6","AH_NonNoxAnnForbCover",1.58,0,23.33
"72","V6","AH_NonNoxAnnGrassCover",1.41,0,15.33
"73","V6","AH_NonNoxPerenForbCover",1.54,0,9
"74","V6","AH_NonNoxPerenGrassCover",6.37,0,24.33
"75","V6","AH_NonNoxShrubCover",23.89,9.33,49
"76","V6","AH_NonNoxSubShrubCover",1.99,0,12.87
"77","V6","AH_NonNoxSucculentCover",1.32,0,13.67
"78","V6","AH_NoxCover",0.51,0,17.67
"79","V6","BareSoilCover",7.8,0.33,20.79
"80","V6","GapCover_101_200",19.11,4.6,29.56
"81","V6","GapCover_200_plus",31.13,8.76,48.95
"82","V7","AH_NonNoxAnnForbCover",1.35,0,7.92
"83","V7","AH_NonNoxAnnGrassCover",0.73,0,8.67
"84","V7","AH_NonNoxPerenForbCover",1.55,0,10.67
"85","V7","AH_NonNoxPerenGrassCover",17.98,1.98,33.33
"86","V7","AH_NonNoxShrubCover",6.78,0,33.33
"87","V7","AH_NonNoxSubShrubCover",2.31,0,15.84
"88","V7","AH_NonNoxSucculentCover",0.63,0,7.92
"89","V7","AH_NonNoxTreeCover",0.51,0,8
"90","V7","AH_NoxCover",0.27,0,6.67
"91","V7","BareSoilCover",44.84,25.74,69.67
"92","V7","GapCover_101_200",21,6.03,40.31
"93","V7","GapCover_200_plus",23,2.77,39.91
"94","V8","AH_NonNoxAnnForbCover",2.03,0,24.67
"95","V8","AH_NonNoxAnnGrassCover",3.1,0,26.67
"96","V8","AH_NonNoxPerenForbCover",4.28,0,17.67
"97","V8","AH_NonNoxPerenGrassCover",32.6,15,52.33
"98","V8","AH_NonNoxShrubCover",23.93,5.33,55
"99","V8","AH_NonNoxSubShrubCover",2.2,0,9.33
"100","V8","AH_NonNoxSucculentCover",4.19,0,17.67
"101","V8","AH_NonNoxTreeCover",3.57,0,42.67
"102","V8","AH_NoxCover",1.8,0,29
"103","V8","BareSoilCover",2.58,0,10
"104","V8","GapCover_101_200",9.64,0,24.61
"105","V8","GapCover_200_plus",4.9,0,15.99
"106","V9","AH_NonNoxAnnForbCover",13.51,0,39.67
"107","V9","AH_NonNoxAnnGrassCover",11.59,0,49
"108","V9","AH_NonNoxPerenForbCover",2.15,0,11
"109","V9","AH_NonNoxPerenGrassCover",3.51,0,13.33
"110","V9","AH_NonNoxShrubCover",11.35,0,26.67
"111","V9","AH_NonNoxSubShrubCover",3.2,0,16.67
"112","V9","AH_NonNoxSucculentCover",0.74,0,7
"113","V9","AH_NonNoxTreeCover",0.08,0,3
"114","V9","AH_NoxCover",0.41,0,8.33
"115","V9","BareSoilCover",33.08,16,56.67
"116","V9","GapCover_101_200",16.65,3.53,33.37
"117","V9","GapCover_200_plus",16.43,0,44.07
